Commodity,District,Baseline_RMSE,Baseline_MAPE,LSTM_RMSE,LSTM_MAPE,Hybrid_RMSE,Hybrid_MAPE
Rice,Warangal,91.89023113685651,0.03777636050463007,92.8680315124974,0.03702719596632798,99.0336849818877,0.03956911817890138
Rice,Karimnagar,106.61152844047447,0.04307250014209632,97.84146722053951,0.03824948330187382,114.93866109683977,0.047292057538211626
Rice,Nalgonda,96.05009591590645,0.0393950659120038,97.49134843514868,0.03963200481942475,107.20546899298834,0.04276600495304686
Rice,Khammam,105.4926595849895,0.03919293067870778,108.28172946517022,0.04293112985740492,123.67079738247168,0.05091647708303046
Rice,Nizamabad,82.31520005892192,0.03179498659332052,91.93632657675987,0.03737665386456225,119.50860503187425,0.049055940151886565
Maize,Warangal,106.67309814741088,0.01683816034476752,110.87588112182992,0.017632673895788858,165.7480764662639,0.028327053916642194
Maize,Karimnagar,101.78672799200653,0.0171329310781709,98.46453818819538,0.015618787471252128,111.83656365371449,0.0176643984180134
Maize,Nalgonda,75.19393219593205,0.012488366592516032,97.6674195637004,0.015021368318700868,124.65585390601657,0.020163963270395026
Maize,Khammam,100.5126761870665,0.01601914937233453,98.77547369947833,0.015532892612622652,201.5702331899648,0.035631476290229606
Maize,Nizamabad,83.85737124219091,0.012570272574109044,96.35840666799349,0.01555262352892585,222.1080544936333,0.03962383630341332
Cotton,Warangal,85.64989566295206,0.012513283836764947,98.86525847291047,0.015605522111369006,160.67967593203193,0.026681768622033718
Cotton,Karimnagar,118.09781525091252,0.01935208630743572,107.22724667178106,0.01743546885237819,151.96336524827373,0.024830611278792294
Cotton,Nalgonda,95.59640707508875,0.014604214330802104,103.73280450874566,0.01651188560608422,131.69794908925812,0.021103001970239718
Cotton,Khammam,96.65868263964408,0.014301890433519924,102.52237263024779,0.01610183761429906,171.55865035587314,0.02903545052737285
Cotton,Nizamabad,117.53754009162348,0.017948111169608486,105.47542210215512,0.016571112518757314,217.8645420879745,0.03899338050392125
Red Gram,Warangal,105.11852104688934,0.0169931538595201,106.70726472758246,0.01659167945560511,145.57223267171796,0.022703115678373045
Red Gram,Karimnagar,120.28121039336092,0.019041138949359722,106.9534930361028,0.016898724071146922,170.23464068576774,0.02857570955238797
Red Gram,Nalgonda,98.43693005807533,0.015629526217636833,96.98293689875771,0.016260047511404266,139.62661527244902,0.02347978043820294
Red Gram,Khammam,111.94492626186486,0.017368559120795532,100.64349495677575,0.01622022975426366,170.6832523015288,0.028304581781504908
Red Gram,Nizamabad,71.78311886898481,0.012249010095096591,106.18703975452976,0.016920217328060722,140.84721685553473,0.023017392724331526
